Post Link,Title,CreationDate,AcceptedAnswerId,Score,ViewCount,Tags,Body,TagName
"{
  ""id"": 129869,
  ""title"": ""Sampling multiple masked tokens through Metropolis–Hastings""
}","Sampling multiple masked tokens through Metropolis–Hastings","2024-08-04 16:21:41","","1","17","<algorithms><bert><sampling>","<p>I'm trying to replicate the finding of the the publication <a href=""https://arxiv.org/pdf/2106.02736"" rel=""nofollow noreferrer"">&quot;Exposing the Implicit Energy Networks behind Masked Language Models via Metropolis-Hastings&quot;</a> for obtaining the joint distribution of multiple masked values in a BERT-like model. The central algorithm is the following:</p>
<p><a href=""https://i.sstatic.net/gwZT993I.png"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/gwZT993I.png"" alt=""The algorithm of interest"" /></a></p>
<p>Given the somewhat complex notation within the manuscript, my current minimal working code looks like that:</p>
<pre class=""lang-py prettyprint-override""><code>from typing import Sequence
import numpy as np
from copy import copy

LENGTH = 5
MASK_TOKEN = 42

def forward(sequence: Sequence[int]) -&gt; np.ndarray:
    # Placeholder: Run the forward pass and get the unormalized logits
    return np.asarray([[0.2, 0.7, 0.1]] * len(sequence))

def energy_function(sequence: Sequence[int]):
    # That should be E_raw as specified in the paper.
    values = []
    for i in range(len(sequence)):
        sequence_new = copy(sequence)
        sequence_new[i] = MASK_TOKEN
        values.append(forward(sequence_new))
        
    # QUESTION 1: HOW TO REDUCE THAT TO A SCALAR?
    return np.asarray(values).sum(axis=0)

x = np.argmax(forward([MASK_TOKEN] * LENGTH), axis=-1)
for e in range(100):
    for t in range(LENGTH):
        e_old = energy_function(x)
        
        # Mask the next token
        x_next = x.copy()
        w_old = x[t]
        x_next[t] = MASK_TOKEN

        # Sample the token
        # QUESTION 2: Is x_next correct here?
        prediction = forward(x_next)
        w_new = np.random.choice(a=prediction.shape[1], size=1, p=prediction[t])
        x_next[t] = w_new

        # Prepare everything for the calculation of the acceptance probability
        # QUESTION 3: ARE THOSE INDICES CORRECT?
        q1 = prediction[w_new]
        q2 = prediction[w_old]
        e_new = energy_function(x_next)

        acceptance_probability = min(1.0, 
            (np.exp(-e_old) * q2) / (np.exp(-e_new) * q1)
        )

        if np.random.uniform(0.0, 1.0) &lt;= acceptance_probability:
            x = x_next
</code></pre>
<p>However, I'm now stuck at some details:</p>
<ol>
<li>(Line 6) For obtaining the acceptance probability, we need E_raw or E_norm to return a scalar. However, we obtain a sum of raw logits or softmax'ed logits. I could not find any strategy in the paper for reducing the value to a single scalar. Where is my mistake in understanding the paper?</li>
<li>(Line 8) Should we really sample from X or from X' instead?</li>
<li>(Line 9) Do you understand that notation that we must use the sampled token ID for indexing the vectors, too?</li>
</ol>
","bert"
"{
  ""id"": 129814,
  ""title"": ""Using multiple text inputs for one output with RoBERTa/DistillBERT""
}","Using multiple text inputs for one output with RoBERTa/DistillBERT","2024-07-28 22:32:05","","0","10","<bert><text-classification><text>","<p>In a current project i want to fine tune a RoBERTa/DistillBERT for text classification.</p>
<p>The model should take two text input features, limited to the length of around 280 characters, and generate a single output label.
However, using the provided base models by Huggingface, they seem to only accept a single text input feature.</p>
<p>I found <a href=""https://arxiv.org/pdf/1908.08345"" rel=""nofollow noreferrer"">this paper</a> and <a href=""https://discuss.huggingface.co/t/multiple-texts-as-inputs-to-transformers-models/2222/6"" rel=""nofollow noreferrer"">this forum post</a>, suggesting to concatenate the inputs and separate them by using a special token.</p>
<p>However, i wonder if there are better approaches, which do not use concatination, but instead keep the input features separated.</p>
","bert"
"{
  ""id"": 129657,
  ""title"": ""Best model for enforcing corporate naming conventions""
}","Best model for enforcing corporate naming conventions","2024-07-10 05:52:42","","0","26","<python><nlp><bert><fuzzy-classification>","<p>I'm working on a project (Python) to enforce the company naming convention of products on product lists provided by clients/suppliers. I'm having a list of company names (Standardised names) and those of external. I'm considering typos too - generating this list using GPT.</p>
<p>Here's are the models I'm considering:<br />
Sequence-to-Sequence (Seq2Seq): LTSM over RNN<br />
Transformer-Based Models: BERT on custom data</p>
<p>Additionally, I'm looking up fuzzy string matching.</p>
<p>Could anyone recommend other approaches, or if I'm missing something?
Greatly appreciated :)</p>
<p>Edit:<br />
This a sample of the dataset I'm dealing with. This is the correct names. I'm creating my own dataset with around 20 incorrect names alongside the correct ones. There are about 20k+ unique names.</p>
<p><a href=""https://i.sstatic.net/mdKt161D.png"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/mdKt161D.png"" alt=""Dataset"" /></a></p>
","bert"
"{
  ""id"": 129640,
  ""title"": ""NLP model for word recovery (analogy to BERT, but letters)""
}","NLP model for word recovery (analogy to BERT, but letters)","2024-07-07 11:03:14","","0","23","<nlp><bert><llm>","<p>I am working on solving the problem of restoring words in text where some letters are missing. For example (restore words where vowels are removed): Hll wrld -&gt; Hello world n ltrntv ssssmnt sggsts -&gt; An alternative assessment suggests</p>
<p>Can you please suggest what pre-trained models I can use to solve this problem or maybe there are some articles that describe similar problems? I know it's similar to BERT, but BERT predicts the word, not the letters.</p>
","bert"
"{
  ""id"": 129580,
  ""title"": ""How can I make my Hugging Face fine-tuned model's config.json file reference a specific revision/commit from the original pretrained model?""
}","How can I make my Hugging Face fine-tuned model's config.json file reference a specific revision/commit from the original pretrained model?","2024-07-01 15:46:05","","0","18","<nlp><bert><huggingface><finetuning>","<p>I uploaded this model: <a href=""https://huggingface.co/pamessina/CXRFE"" rel=""nofollow noreferrer"">https://huggingface.co/pamessina/CXRFE</a>, which is a fine-tuned version of this model: <a href=""https://huggingface.co/microsoft/BiomedVLP-CXR-BERT-specialized"" rel=""nofollow noreferrer"">https://huggingface.co/microsoft/BiomedVLP-CXR-BERT-specialized</a></p>
<p>Unfortunately, CXR-BERT-specialized has this issue: <a href=""https://github.com/huggingface/transformers/issues/30412"" rel=""nofollow noreferrer"">https://github.com/huggingface/transformers/issues/30412</a></p>
<p>I fixed the issue with this pull request: <a href=""https://huggingface.co/microsoft/BiomedVLP-CXR-BERT-specialized/discussions/5"" rel=""nofollow noreferrer"">https://huggingface.co/microsoft/BiomedVLP-CXR-BERT-specialized/discussions/5</a></p>
<p>However, when I save my fine-tuned model, the config.json file doesn't point to that specific pull request, pointing instead to the main branch by default, but the main branch of CXR-BERT-specialized has the aforementioned issue. As a consequence, when I try to use my model, it triggers the bug from the main branch of the underlying model, which shouldn't happen it were using the version from my pull request.</p>
<p>I've tried explicitly enforcing the revision I want like this:</p>
<pre><code>model = AutoModel.from_pretrained('microsoft/BiomedVLP-CXR-BERT-specialized', revision=&quot;6cfc310817fb7d86762d888ced1e3709c57ac578&quot;, trust_remote_code=True)
...
model.save_pretrained(&quot;/home/pamessina/huggingface_models/CXRFE/&quot;)
</code></pre>
<p>But the config file that gets saved doesn't reference the desired revision:</p>
<pre><code>{
  &quot;_name_or_path&quot;: &quot;microsoft/BiomedVLP-CXR-BERT-specialized&quot;,
  &quot;architectures&quot;: [
    &quot;CXRBertModel&quot;
  ],
  &quot;attention_probs_dropout_prob&quot;: 0.25,
  &quot;auto_map&quot;: {
    &quot;AutoConfig&quot;: &quot;microsoft/BiomedVLP-CXR-BERT-specialized--configuration_cxrbert.CXRBertConfig&quot;,
    &quot;AutoModel&quot;: &quot;microsoft/BiomedVLP-CXR-BERT-specialized--modeling_cxrbert.CXRBertModel&quot;
  },
  &quot;classifier_dropout&quot;: null,
  &quot;gradient_checkpointing&quot;: false,
  &quot;hidden_act&quot;: &quot;gelu&quot;,
  &quot;hidden_dropout_prob&quot;: 0.25,
  &quot;hidden_size&quot;: 768,
  &quot;initializer_range&quot;: 0.02,
  &quot;intermediate_size&quot;: 3072,
  &quot;layer_norm_eps&quot;: 1e-12,
  &quot;max_position_embeddings&quot;: 512,
  &quot;model_type&quot;: &quot;cxr-bert&quot;,
  &quot;num_attention_heads&quot;: 12,
  &quot;num_hidden_layers&quot;: 12,
  &quot;pad_token_id&quot;: 0,
  &quot;position_embedding_type&quot;: &quot;absolute&quot;,
  &quot;projection_size&quot;: 128,
  &quot;torch_dtype&quot;: &quot;float32&quot;,
  &quot;transformers_version&quot;: &quot;4.41.2&quot;,
  &quot;type_vocab_size&quot;: 2,
  &quot;use_cache&quot;: true,
  &quot;vocab_size&quot;: 30522
}
</code></pre>
<p>And when I try to use my fine-tuned model from Hugging Face on Google Colab, I get this error:</p>
<p><a href=""https://i.sstatic.net/rUuXJTyk.png"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/rUuXJTyk.png"" alt=""enter image description here"" /></a></p>
<p>As  you can see, it's invoking the version associated with the commit id &quot;b59c09e51ab2410b24f4be214bbb49043fe63fc2&quot;, when instead it should be using the commit id &quot;6cfc310817fb7d86762d888ced1e3709c57ac578&quot; with my pull request that fixes the bug.</p>
<p>What can I do?</p>
<p>Thanks in advance.</p>
","bert"
"{
  ""id"": 129208,
  ""title"": ""Fine-tuning pretrained model on 2 tasks with 2 labeled dataset""
}","Fine-tuning pretrained model on 2 tasks with 2 labeled dataset","2024-05-27 16:05:43","","0","25","<classification><nlp><bert>","<p>I am having difficulty using BERT for a sentiment analysis task that handles both aspect-based sentiment analysis (ABSA) and comment sentiment analysis. I know that using two separate classification layers on top of the hidden layer can classify these two tasks, but I don't know how to handle labels for these two datasets. One dataset only has sentiment labels (positive, negative, and neutral), while the other includes 10 aspects with 4 sentiment labels (including NONE for aspects that are not present). I am wondering if I can assign a task type to the data and use it to identify which task is being trained on the model. Please let me know your thoughts on this problem. Thank you for your help! Have a good day!!!!!</p>
","bert"
"{
  ""id"": 128908,
  ""title"": ""How can self-attention be used to combine representations from long text?""
}","How can self-attention be used to combine representations from long text?","2024-04-30 18:42:49","","0","14","<python><nlp><bert><attention-mechanism>","<p>The paper &quot;<a href=""https://arxiv.org/abs/1905.05583"" rel=""nofollow noreferrer"">How to Fine-Tune BERT for Text Classification?</a>&quot; discusses using self-attention to combine the representations of a long input text that has been broken into chunks (section 5.3.1).</p>
<blockquote>
<p>The input text is firstly divided into k = L/510 fractions, which is fed into BERT to obtain the representation of the k text fractions. The representation of each fraction is the hidden state of the [CLS] tokens of the last layer. Then we use mean pooling, max pooling and self-attention to combine the representations of all the fractions.</p>
</blockquote>
<p>However, the paper does not go into detail on how this is actually done. Could anyone please explain how this is accomplished or provide examples that go into greater detail? I'm looking to implement this in Python alongside code that uses the Hugging Face transformers package.</p>
","bert"
"{
  ""id"": 128829,
  ""title"": ""Weird behaviour when using RobERTA for text classification""
}","Weird behaviour when using RobERTA for text classification","2024-04-24 06:09:59","","3","51","<classification><nlp><bert><text-classification>","<p>I have a dataset with around 70 classes and the dataset is largely balanced ~150 samples per class. I am finetuning RoBERTA-base for 4 epochs with a <code>{lr =5e-5, wd = 0.01, batch_size=32}</code>, so fairly standard hyperparameters.</p>
<p>Two of the classes in the dataset are &quot;increaseCreditLimit&quot; and &quot;decreaseCreditLimit&quot;, and the data in them is quite obviously different. But when I test the model on very straightforward utterances like &quot;increase my credit limit&quot;, &quot;increase my credit card limit&quot;, etc, the prediction is always &quot;decreaseCreditLimit&quot;.</p>
<p>A finetuned distilBERT gets all of them correct, so I know that there is nothing amiss in the dataset or the preprocessing. Can someone please shed some light on what could be wrong with the finetuning of the RoBERTa model?</p>
<p>If we look at the SHAP values, it seems that the RoBERTA tokenizer breaks the word &quot;increase&quot; into &quot;incre&quot; and &quot;ase&quot;. But the distilBERT tokenizer doesn't do so and the attribution for the word &quot;increase&quot; is very significant.</p>
<p><strong>RoBERTA SHAP values (Output 14 corresponds to the &quot;increaseCreditLimit&quot; class and Output 57 corresponds to &quot;decreaseCreditLimit&quot;</strong></p>
<p><a href=""https://i.sstatic.net/mLhUcVvD.png"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/mLhUcVvD.png"" alt=""RoBERTA SHAP values (Output 14 corresponds to the &quot;increaseCreditLimit&quot; class and Output 57 corresponds to &quot;decreaseCreditLimit&quot;)"" /></a></p>
<p><strong>DistilBERT SHAP values</strong></p>
<p><a href=""https://i.sstatic.net/3KbxtNQl.png"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/3KbxtNQl.png"" alt=""DistilBERT SHAP values"" /></a></p>
<p>Train val loss per epoch
<a href=""https://i.sstatic.net/8Emm92TK.png"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/8Emm92TK.png"" alt=""enter image description here"" /></a></p>
","bert"
"{
  ""id"": 128773,
  ""title"": ""Use text embeddings to map job descriptions to ESCO occupations""
}","Use text embeddings to map job descriptions to ESCO occupations","2024-04-19 15:07:53","","2","41","<transformer><bert><embeddings><llm><semantic-similarity>","<p>I'm trying to build a model to map job descriptions to <a href=""https://esco.ec.europa.eu/en/classification/occupation_main"" rel=""nofollow noreferrer"">ESCO occupations</a> which is a taxonomy for job titles. Every ESCO occupations have a title, a description and some essential skills.
Ideally I would have built a classification model but since I don't have labelled data that's out of the question.</p>
<p>So my idea was to generate text embeddings from every ESCO occupation and then for an input job description, and using cosine similarity, find the most similar ESCO occupation to that job description. I'm using this <a href=""https://huggingface.co/jjzha/esco-xlm-roberta-large"" rel=""nofollow noreferrer"">model</a> to generate the embeddings, which is an XLM-roBERTa which was pre-trained on job market data. I use the mean of the embeddings for every token as the job description's final embedding.
However the results are very bad, it fails to find most relevant ESCO occupations.</p>
<p>Here's how I compute the embeddings:</p>
<pre class=""lang-py prettyprint-override""><code>from transformers import AutoTokenizer, AutoModel
tokenizer = AutoTokenizer.from_pretrained(&quot;jjzha/esco-xlm-roberta-large&quot;)
model = AutoModel.from_pretrained(&quot;jjzha/esco-xlm-roberta-large&quot;)

sample_job_title = &quot;We are looking for a junior software developer with experience in React and Python.&quot;
encoded_input = tokenizer(sample_job_title, padding=True, truncation=True, return_tensors=&quot;pt&quot;)
with torch.inference_mode():
    output = model(**encoded_input)
embedding = output.last_hidden_state.mean(dim=1)
</code></pre>
<p>From this output I retrieve output.last_hidden_state, which should correspond to the tokens embeddings, and then compute the mean embedding. This returns a pytorch tensor of shape (1, 1024). I have another tensor of shape (3007, 1024), <code>esco_embeddings</code> which corresponds to the embeddings for every 3007 ESCO occupation.
I then compute cosine similarity by doing:</p>
<pre class=""lang-py prettyprint-override""><code>similarities = torch.nn.functional.cosine_similarity(embedding, esco_embeddings, dim=1)
</code></pre>
<p>And find the k most similar ESCO occupations by computing</p>
<pre class=""lang-py prettyprint-override""><code>most_similar = torch.topk(similarities, k)
</code></pre>
<p>I thought that the problem might be in the embeddings itself, with XLM-roBERTa generating embeddings for every token and not one emebdding for the whole text.</p>
<p>Does anyone have an idea why that isn't working, and how it could be fixed? Maybe there's a better approach?</p>
<p>Thanks for the help.</p>
","bert"
"{
  ""id"": 128703,
  ""title"": ""Does Fine Tuning with Custom Label Build Upon the Capability of Zero Shot Classification or Does It Train from Scratch?""
}","Does Fine Tuning with Custom Label Build Upon the Capability of Zero Shot Classification or Does It Train from Scratch?","2024-04-15 09:30:38","","0","41","<nlp><bert><text-classification><huggingface><zero-shot-learning>","<p>The task is to classify email text bodies into exclusive categories like feedback, complaint etc. I have a labelled dataset available having about 350 samples.</p>
<p>I have tried the <code>facebook/bart-large-mnli</code> zero shot classification model where I passed the class names as possible label. It is already giving a decent performance.</p>
<p>Now, if I want to improve by using the existing labelled dataset and some model like <code>distilbert-base-uncased</code>, then will I lose the capability offered by the zero shot model altogether, and the new model will be trained entirely based on the labelled data?</p>
<p>I am afraid to go down the route because the number of labelled samples is so small, I feel it will fail to update the huge models having more weights than number of samples (we know the larger the model, the more samples you need).</p>
<p>So how do you guys address this concern, and how best to use the capabilities of the zero shot model on huggingface, while also using the labelled sample somehow?</p>
<p>I feel if I could just nudge the zero shot model a bit with the training samples, that would be the best possibility, but how to achieve it with huggingface?</p>
","bert"
