Post Link,Title,CreationDate,AcceptedAnswerId,Score,ViewCount,Tags,Body,TagName
"129660","Hugging Face Real Time Object Detection Deployment","2024-07-10 11:13:49","","0","18","<yolo><huggingface><mlops><deployment><streamlit>","<p>I'm developing a live object detection app using Streamlit and the YOLOv8 model. The app runs smoothly with real-time inference on my local machine. However, when I deploy it to Hugging Face Spaces, only the first and last frames of the video appear on the client side.</p>
<p>Here is what I did</p>
<pre><code>import streamlit as st
import cv2
import tempfile
import os
from ultralytics import YOLO

model_pk = YOLO('models/model_pk.pt')

# Initialize session state
if 'started' not in st.session_state:
    st.session_state.started = False

st.title(&quot;Video Streamer&quot;)

if not st.session_state.started:
    uploaded_file = st.file_uploader(&quot;Upload a video file&quot;, type=[&quot;mp4&quot;, &quot;avi&quot;, &quot;mov&quot;, &quot;mkv&quot;])

    if uploaded_file is not None:
        # Save the uploaded video to a temporary file
        tfile = tempfile.NamedTemporaryFile(delete=False)
        tfile.write(uploaded_file.read())
        video_path = tfile.name

        # Stream the video
        st.video(video_path)

        if st.button(&quot;Start Streaming&quot;):
            st.session_state.video_path = video_path
            st.session_state.started = True
else:
    video_path = st.session_state.video_path
    # OpenCV video capture
    cap = cv2.VideoCapture(video_path)
    stframe = st.empty()

    while cap.isOpened():
        ret, frame = cap.read()
        frame = cv2.resize(frame, (640, 640))

        height, width, _ = frame.shape

        results_pk = model_pk(frame, conf=0.5)

        annotated_frame = results_pk[0].plot()

        annotated_frame = cv2.resize(annotated_frame, (height, width))

        if not ret:
            break

        stframe.image(annotated_frame, channels=&quot;BGR&quot;)

    cap.release()
    os.remove(video_path)
    st.session_state.started = False

</code></pre>
<p>I would appreciate any help in resolving this issue.</p>
","huggingface"
"129580","How can I make my Hugging Face fine-tuned model's config.json file reference a specific revision/commit from the original pretrained model?","2024-07-01 15:46:05","","0","18","<nlp><bert><huggingface><finetuning>","<p>I uploaded this model: <a href=""https://huggingface.co/pamessina/CXRFE"" rel=""nofollow noreferrer"">https://huggingface.co/pamessina/CXRFE</a>, which is a fine-tuned version of this model: <a href=""https://huggingface.co/microsoft/BiomedVLP-CXR-BERT-specialized"" rel=""nofollow noreferrer"">https://huggingface.co/microsoft/BiomedVLP-CXR-BERT-specialized</a></p>
<p>Unfortunately, CXR-BERT-specialized has this issue: <a href=""https://github.com/huggingface/transformers/issues/30412"" rel=""nofollow noreferrer"">https://github.com/huggingface/transformers/issues/30412</a></p>
<p>I fixed the issue with this pull request: <a href=""https://huggingface.co/microsoft/BiomedVLP-CXR-BERT-specialized/discussions/5"" rel=""nofollow noreferrer"">https://huggingface.co/microsoft/BiomedVLP-CXR-BERT-specialized/discussions/5</a></p>
<p>However, when I save my fine-tuned model, the config.json file doesn't point to that specific pull request, pointing instead to the main branch by default, but the main branch of CXR-BERT-specialized has the aforementioned issue. As a consequence, when I try to use my model, it triggers the bug from the main branch of the underlying model, which shouldn't happen it were using the version from my pull request.</p>
<p>I've tried explicitly enforcing the revision I want like this:</p>
<pre><code>model = AutoModel.from_pretrained('microsoft/BiomedVLP-CXR-BERT-specialized', revision=&quot;6cfc310817fb7d86762d888ced1e3709c57ac578&quot;, trust_remote_code=True)
...
model.save_pretrained(&quot;/home/pamessina/huggingface_models/CXRFE/&quot;)
</code></pre>
<p>But the config file that gets saved doesn't reference the desired revision:</p>
<pre><code>{
  &quot;_name_or_path&quot;: &quot;microsoft/BiomedVLP-CXR-BERT-specialized&quot;,
  &quot;architectures&quot;: [
    &quot;CXRBertModel&quot;
  ],
  &quot;attention_probs_dropout_prob&quot;: 0.25,
  &quot;auto_map&quot;: {
    &quot;AutoConfig&quot;: &quot;microsoft/BiomedVLP-CXR-BERT-specialized--configuration_cxrbert.CXRBertConfig&quot;,
    &quot;AutoModel&quot;: &quot;microsoft/BiomedVLP-CXR-BERT-specialized--modeling_cxrbert.CXRBertModel&quot;
  },
  &quot;classifier_dropout&quot;: null,
  &quot;gradient_checkpointing&quot;: false,
  &quot;hidden_act&quot;: &quot;gelu&quot;,
  &quot;hidden_dropout_prob&quot;: 0.25,
  &quot;hidden_size&quot;: 768,
  &quot;initializer_range&quot;: 0.02,
  &quot;intermediate_size&quot;: 3072,
  &quot;layer_norm_eps&quot;: 1e-12,
  &quot;max_position_embeddings&quot;: 512,
  &quot;model_type&quot;: &quot;cxr-bert&quot;,
  &quot;num_attention_heads&quot;: 12,
  &quot;num_hidden_layers&quot;: 12,
  &quot;pad_token_id&quot;: 0,
  &quot;position_embedding_type&quot;: &quot;absolute&quot;,
  &quot;projection_size&quot;: 128,
  &quot;torch_dtype&quot;: &quot;float32&quot;,
  &quot;transformers_version&quot;: &quot;4.41.2&quot;,
  &quot;type_vocab_size&quot;: 2,
  &quot;use_cache&quot;: true,
  &quot;vocab_size&quot;: 30522
}
</code></pre>
<p>And when I try to use my fine-tuned model from Hugging Face on Google Colab, I get this error:</p>
<p><a href=""https://i.sstatic.net/rUuXJTyk.png"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/rUuXJTyk.png"" alt=""enter image description here"" /></a></p>
<p>As  you can see, it's invoking the version associated with the commit id &quot;b59c09e51ab2410b24f4be214bbb49043fe63fc2&quot;, when instead it should be using the commit id &quot;6cfc310817fb7d86762d888ced1e3709c57ac578&quot; with my pull request that fixes the bug.</p>
<p>What can I do?</p>
<p>Thanks in advance.</p>
","huggingface"
"129572","Does it common for LM (hundreds million parameters) beat LLM (billion parameters) for binary classification task?","2024-07-01 01:16:10","","0","19","<python><neural-network><nlp><transformer><huggingface>","<p><strong>Preface</strong></p>
<p>I am trying to fine-tune the transformer-based model (LM and LLM). The LM that I used is DEBERTA, and the LLM is LLaMA 3. The task is to classify whether a text contains condescending language (binary classification).</p>
<p>I use <code>AutoModelForSequenceClassification</code>, which adds a classification layer to the model's top layer for both LM and LLM.</p>
<p><strong>Implementation</strong></p>
<ol>
<li><p>Dataset:</p>
<ul>
<li>Amount: it has about 10.000 texts with each text labeled <code>0</code> (for not condescending) and <code>1</code> (condescending). The proportion is <code>1:10</code> (condescending : not condescending).</li>
</ul>
</li>
<li><p>Parameter</p>
</li>
</ol>
<div class=""s-table-container""><table class=""s-table"">
<thead>
<tr>
<th>Parameter</th>
<th>LM</th>
<th>LLM</th>
</tr>
</thead>
<tbody>
<tr>
<td>Batch size</td>
<td>32</td>
<td>16 (per_device_train_batch_size = 4,    gradient_accumulation_steps = 4)</td>
</tr>
<tr>
<td>Epoch / steps</td>
<td>2 epoch</td>
<td>1000 steps (20% used as validation set)</td>
</tr>
<tr>
<td>Learning Rate</td>
<td>linear (2e-5)</td>
<td>constant (2e-5)</td>
</tr>
<tr>
<td>Optimizer</td>
<td>AdamW (lr = 2e-5, eps = 1e-8)</td>
<td>paged_adamw_32bit</td>
</tr>
<tr>
<td>Fine-tuning</td>
<td>Full fine-tuning</td>
<td>LoRA (rank=32, dropout=0.5, alpha=8) with 8-bit quantization</td>
</tr>
<tr>
<td>Learning Rate</td>
<td>linear (2e-5)</td>
<td>constant (2e-5)</td>
</tr>
<tr>
<td>Precision</td>
<td>0,659</td>
<td>0,836</td>
</tr>
<tr>
<td>Recall</td>
<td>0,47</td>
<td>0,091</td>
</tr>
<tr>
<td>F1-score</td>
<td>0,549</td>
<td>0,164</td>
</tr>
</tbody>
</table></div>
<p><strong>Question and Issue</strong></p>
<p>Here is the log of the training sample. The validation f1-score is always <code>&gt;0.6</code>. But the validation loss is stuck at <code>0.24</code>. It is one of the samples of fine-tuned LLM.</p>
<p><a href=""https://i.sstatic.net/cWtxnVpgm.png"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/cWtxnVpgm.png"" alt=""enter image description here"" /></a></p>
<ol>
<li>Why does the test set f1-score only range from 0 - 0.2 for some parameter variation that I tuned when the f1-score for the validation set is always above 0.6, is it reasonable? why?</li>
<li>Is it common for LM to beat LLM for a particular task? If yes, what is the rationalization?</li>
</ol>
","huggingface"
"129390","NLP: how to handle bad tokenization","2024-06-12 03:50:46","","0","21","<machine-learning><nlp><huggingface>","<p>I get nonsense when trying to translate the following german sentence to swedish using google/madlad400-3b-mt:</p>
<blockquote>
<p>a. Natürliche Personen: BundID mit ELSTER-Zertifikat oder nPA/eID/eAT-Authentifizierung
b. Juristische Personen: Unternehmenskonto BUND mit ELSTER-Zertifik</p>
</blockquote>
<p>-&gt;</p>
<blockquote>
<p>. Personen mit Behinderung: BundesID mit ELSTER-Zertifikat oder nPA/eID/eAT-Authentifizierung c. Personen mit Behinderung: BundesID mit ELSTER-Zertifikat oder nPA db. Personen mit Behinderung: BundesID mit ELSTER-Zertifikat oder nPA/e</p>
</blockquote>
<p>Code:</p>
<pre><code>pipe = pipeline(&quot;translation&quot;, model=&quot;google/madlad400-3b-mt&quot;)
pipe('&lt;2sv&gt;'+input, max_length = n_words*5)

</code></pre>
<p>This is likely due to the abundance of abbreviations and special words.</p>
<p><em>Is there a per sentence metric I can use to measure bad tokenizations? A naive one would be to calulate the percentage of unknown tokens. In my case the problem seems to be that it falsely attends to abbreviations rather than unknown confusion.</em></p>
","huggingface"
"129353","attentions not returned from transformers ViT model when using output_attentions=True","2024-06-09 19:13:34","129355","0","52","<visualization><transformer><attention-mechanism><huggingface>","<p>I'm using <a href=""https://huggingface.co/transformers/v4.9.1/model_doc/vit.html"" rel=""nofollow noreferrer"">this code snippet</a> from the docs of HuggingFace ViT classification model - with one addition: I'm using the <code>output_attentions=True</code> parameter. Nevertheless, no attentions are returned.</p>
<pre class=""lang-py prettyprint-override""><code>from transformers import ViTFeatureExtractor, ViTForImageClassification
from PIL import Image
import requests

url = 'http://images.cocodataset.org/val2017/000000039769.jpg'
image = Image.open(requests.get(url, stream=True).raw)

feature_extractor = ViTFeatureExtractor.from_pretrained('google/vit-base-patch16-224')
model = ViTForImageClassification.from_pretrained('google/vit-base-patch16-224')

inputs = feature_extractor(images=image, return_tensors=&quot;pt&quot;)
outputs = model(**inputs, output_attentions=True)
logits = outputs.logits

# --&gt; this should print the attentions
print(output.attentions)

# model predicts one of the 1000 ImageNet classes
predicted_class_idx = logits.argmax(-1).item()
print(&quot;Predicted class:&quot;, model.config.id2label[predicted_class_idx])
</code></pre>
<p>The output of <code>print(output.attentions)</code> is:</p>
<pre><code>attentions=(None, None, None, None, None, None, None, None, None, None, None, None)
</code></pre>
<p>What am I doing wrong, and how can I get the attentions values?</p>
","huggingface"
"128968","Instruction LLM - extract data from text wrongly continues","2024-05-06 09:04:32","","0","34","<transformer><huggingface><llm>","<p>I'm trying to fine-tune open sourced LLMs, for now let's stick with Mistral-7b-instruct model.</p>
<p>My task is a follow: I have emails, that represents &quot;price requests&quot; for shipments sends by our clients.
In the emails, the clients tells us the pickup address, the shipper, consignee ETC.</p>
<p>My initial idea was to train different adapters, using DORA, each of them is trained on extracting a different entity from the email.</p>
<p>My dataset was created as follow: I have the email, and the annotation which is &quot;Based on the email, I've found this [ENTITY]: entity_here</p>
<p>I've created a System message, and and chat_template to create the dataset in a way Mistral will accept, using this chat_template:</p>
<pre><code>&quot;{%- for message in messages %}&quot;
  &quot;{%- if message['role'] == 'system' -%}&quot;
      &quot;{{- '&lt;s&gt;' + message['content'] -}}&quot;
  &quot;{%- else -%}&quot;
      &quot;{%- if message['role'] == 'user' -%}&quot;
          &quot;{{-'[INST] ' + message['content'].rstrip() + ' [/INST]'-}}&quot;
      &quot;{%- else -%}&quot;
          &quot;{{-'' + message['content'] + '&lt;/s&gt;' -}}&quot;
      &quot;{%- endif -%}&quot;
  &quot;{%- endif -%}&quot;
&quot;{%- endfor -%}&quot;
&quot;{%- if add_generation_prompt -%}&quot;
    &quot;{{-''-}}&quot;
&quot;{%- endif -%}&quot;
</code></pre>
<p>Now to the problem. The model seems to learn what it needs to extract, it generates decent answers, with the same format as the assistant it was trained by, the problem is that after it generates the answer, it keeps on generating additional texts regarding the email that are irrelevant to the task, E.G. &quot;please contact us in....&quot;</p>
<p>When I fine tune GPT3.5 for example for the same task, the model is able to extract exactly what I need for it, which suggests to me that I'm doing something wrong.</p>
<p>Does anyone have suggestions as to where did I go wrong?</p>
","huggingface"
"128904","Since LoRA parameters are randomly initialized, shouldn't that mean that initially breaks a models output?","2024-04-30 09:46:03","128907","2","52","<huggingface><finetuning>","<p>I have just tried using LoRA on Llama 3 8B and I found without doing any fine tuning it performed pretty well on my dataset. But then I realized that surely the LoRA parameters are randomly initialized right? So if that's the case, shouldn't that mean the model outputs are initially detrimented by the LoRA parameters? Since they're just adding random values to the regular parameters?</p>
<p>I also have a somewhat related question if you don't mind answering it as well. I keep reading that the alpha parameter in LoRA is the scaling factor e.g. y = Wx + alpha * L1L2, but I often see alpha values of 256 for example which seems way to large because that would be setting a ratio of 1 : 256 for the influence share between the regular parameters and the LoRA parameters on the output.</p>
","huggingface"
"128875","""No sentence-transformers model found with name"" on huggingface even though it exists","2024-04-28 10:00:02","","1","498","<nlp><word-embeddings><huggingface>","<p>I am trying to use <a href=""https://huggingface.co/infgrad/stella-base-en-v2"" rel=""nofollow noreferrer"">infgrad/stella-base-en-v2</a> on hugging to generate embeddings using langchain</p>
<ol>
<li>The model exists on the huggingface hub</li>
<li>The model is listed on the MTEB leaderboard</li>
<li>The model has sentence transformer tag on it</li>
</ol>
<p>Still when I try to use it like so:</p>
<pre><code>from langchain_community.embeddings import HuggingFaceEmbeddings
embeddings = HuggingFaceEmbeddings(model_name = &quot;infgrad/stella-base-en-v2&quot;)
</code></pre>
<p>I get the warning:</p>
<pre><code>No sentence-transformers model found with name infgrad/stella-base-en-v2. Creating a new one with MEAN pooling.
</code></pre>
<p>Why is that the case?</p>
","huggingface"
"128870","Not able to use huggingface inference API to get text embeddings","2024-04-27 19:31:55","","0","36","<huggingface>","<p>From the tutorials I am using the <a href=""https://python.langchain.com/docs/integrations/text_embedding/huggingfacehub/#hugging-face-inference-api"" rel=""nofollow noreferrer"">example</a> that is provided</p>
<pre><code>from langchain_community.embeddings import HuggingFaceInferenceAPIEmbeddings

embeddings = HuggingFaceInferenceAPIEmbeddings(
    api_key=inference_api_key, model_name=&quot;sentence-transformers/all-MiniLM-l6-v2&quot;
)
text = &quot;this is a sample text&quot;
query_result = embeddings.embed_query(text)
query_result[:3]
</code></pre>
<p>But this results in the error:</p>
<pre><code>File ~/miniconda3/envs/rag/lib/python3.12/site-packages/langchain_community/embeddings/huggingface.py:373, in HuggingFaceInferenceAPIEmbeddings.embed_query(self, text)
    364 def embed_query(self, text: str) -&gt; List[float]:
    365     &quot;&quot;&quot;Compute query embeddings using a HuggingFace transformer model.
    366 
    367     Args:
   (...)
    371         Embeddings for the text.
    372     &quot;&quot;&quot;
--&gt; 373     return self.embed_documents([text])[0]

KeyError: 0

</code></pre>
<p>I can generate the text completions from LLMs hosted at the huggingface hub using the same inference_api_key so I guess maybe that is fine.(?)</p>
<p>Can you please help me understand how to use the inference API to get the embeddings from any embeddings model hosted on the huggingfacehub</p>
","huggingface"
"128857","How do I get model.generate() to omit the input sequence from the generation?","2024-04-26 15:06:02","128858","1","208","<nlp><pytorch><huggingface>","<p>I'm using Huggingface to do inference on llama-3-B. Here is my model:</p>
<pre><code>model, tokenizer = FastLanguageModel.from_pretrained(
    model_name = &quot;unsloth/llama-3-8b-Instruct-bnb-4bit&quot;,
    max_seq_length = 2048,
    dtype = torch.float16,
    load_in_4bit = True,
)

model = FastLanguageModel.get_peft_model(
    model,
    r = 16,
    target_modules = [&quot;q_proj&quot;, &quot;k_proj&quot;, &quot;v_proj&quot;, &quot;o_proj&quot;, &quot;gate_proj&quot;, &quot;up_proj&quot;, &quot;down_proj&quot;],
    lora_alpha = 16,
    lora_dropout = 0,
    bias = &quot;none&quot;,
    use_gradient_checkpointing = True,
    random_state = 42,
    use_rslora = False,
    use_dora = False,
    loftq_config = None,
)
</code></pre>
<p>My issue is that when I prompt the model, it outputs &quot;prompt + generation&quot; rather than just outputing the generation. Here is where I prompt it:</p>
<pre><code>inputs = tokenizer(prompts[:2], return_tensors = &quot;pt&quot;, padding=True).to(&quot;cuda&quot;)
outputs = model.generate(**inputs, max_new_tokens = 256, use_cache = True)
predictions = tokenizer.batch_decode(outputs, skip_special_tokens = True)
print(predictions[0])
</code></pre>
<p>E.g. if the input prompt i.e. <code>prompt[0]</code> is &quot;What color is grass?&quot; the output is like &quot;What color is grass? Green.&quot; but I want it to just be &quot;Green.&quot;.</p>
","huggingface"
