Post Link,Title,CreationDate,AcceptedAnswerId,Score,ViewCount,Tags,Body,TagName
"78873680","How to create a function call tool to analyse CSV in LLM Long-chain with all columns definition predefined","2024-08-15 04:55:11","","0","20","<python><openai-api><langchain><large-language-model><gpt-4>","<p><em><strong>Context</strong></em></p>
<p>I would like to create an GPT Agent. This Agent should be able to fetch data from 3 predefined CSV files. Hence I would like to create 3 function tools for each CSV file.</p>
<p><em><strong>Expectation</strong></em></p>
<p>AI Agent should understand what does each CSV do exactly. And what are the columns and data exactly agent can get from each CSV file.</p>
<p>Because, I think providing the CSV structure and column definitions when creating the tool will make the LLM result much more efficient and accurate.</p>
<p><em><strong>Problem Statement</strong></em></p>
<p>How to properly define the CSV structure and column definitions?</p>
<p>The code is I tried is listed below.</p>
<pre><code>csv1_inspection_tool = StructuredTool.from_function(
    func=get_first_n_rows,
    name=&quot;InspectCSVFile&quot;,
    description=&quot;Explore the contents and structure of a table document, displaying its column names and the first n rows, with n defaulting to 3.&quot;,
)
</code></pre>
<pre><code>import pandas as pd

def get_csv_filename(
        filename: str
    ) -&gt; str:
    &quot;&quot;&quot;Get CSV file name&quot;&quot;&quot;
    # Read the CSV file
    csv_file = pd.read_csv(filename)
    
    # Since there's no sheet name, we just return the filename
    return f&quot;The file name of the CSV is '{filename}'&quot;


def get_column_names(filename: str) -&gt; str:
    &quot;&quot;&quot;Get all column names from a CSV file&quot;&quot;&quot;

    # Read the CSV file
    df = pd.read_csv(filename)

    column_names = '\n'.join(df.columns.to_list())

    result = f&quot;The File '{filename}' has columns:\n\n{column_names}&quot;
    return result


def get_first_n_rows(
        filename: str,
        n: int = 3
) -&gt; str:
    &quot;&quot;&quot;Get CSV File First N Lines&quot;&quot;&quot;

    result = get_csv_filename(filename) + &quot;\n\n&quot;

    result += get_column_names(filename) + &quot;\n\n&quot;

    df = pd.read_csv(filename)  

    n_lines = '\n'.join(
        df.head(n).to_string(index=False, header=True).split('\n')
    )

    result += f&quot;This file '{filename}' has first {n} lines of sample:\n\n{n_lines}&quot;
    return result
</code></pre>
","gpt-4"
"78872743","Which is better GPT 4.0 or 4o?","2024-08-14 19:58:48","","0","31","<openai-api><gpt-4>","<p>I am currently evaluating two versions of GPT models, GPT-4 and GPT-4o, and I wanted to understnad from the community on which model is more reliable for text-only applications. I am not interested in image generation or document/speech analysis.</p>
<p>My focus is on the following things:</p>
<ul>
<li>Hyperparameters and their impact on performance</li>
<li>Ability to avoid hallucinations</li>
<li>Understanding and validity of output</li>
</ul>
<p>which model is more reliable for generating accurate and coherent text based on your experience or any available benchmarks?</p>
","gpt-4"
"78848493","Skill Alexa + GPT4 with Vector Store","2024-08-08 12:44:58","","0","20","<python><alexa-skills-kit><openai-api><gpt-4><vectorstore>","<p>I'm trying to modify Python code to invoke a custom assistant and its respective Vector Store in <a href=""https://platform.openai.com/playground/assistants"" rel=""nofollow noreferrer"">playground/assistant</a> on OpenAI.</p>
<p>The idea is to be able to invoke a custom assistant from OpenAI, fed with data contained in its respective Vector Store, and to be able to talk to this data through the Echo Dot.</p>
<p>After reading the <a href=""https://platform.openai.com/docs/assistants/tools/file-search/vector-stores"" rel=""nofollow noreferrer"">documentation</a>, I saw that I could use the assistant_id parameter to call a custom assistant... But it gave me a &quot;Response Error&quot; response. I haven't found a solution yet.</p>
<p>The original project is by Alexandre, it is at: <a href=""https://github.com/alexandremendoncaalvaro/skill-alexa-chatgpt4"" rel=""nofollow noreferrer"">https://github.com/alexandremendoncaalvaro/skill-alexa-chatgpt4</a>. But he's Brazilian and doesn't respond.</p>
<p>Below is my modified code for your review. Thank you very much in advance:</p>
<pre><code>import os
import logging
import ask_sdk_core.utils as ask_utils
from ask_sdk_core.skill_builder import SkillBuilder
from ask_sdk_core.dispatch_components import AbstractRequestHandler
from ask_sdk_core.dispatch_components import AbstractExceptionHandler
from ask_sdk_core.handler_input import HandlerInput
from ask_sdk_model import Response
import openai

logger = logging.getLogger(__name__)
logger.setLevel(logging.INFO)

openai_api_key = &quot;INSERT-APIKEY-OPENAI-HERE&quot;
openai.api_key = openai_api_key

# Custom wizard parameters
custom_assistant_id = &quot;YOUR_ASSISTANT_ID&quot;
vector_store_id = &quot;ID_DO_VECTOR_STORE&quot;  # If applicable

messages = [
    {
        &quot;role&quot;: &quot;system&quot;,
        &quot;content&quot;: &quot;ALWAYS consult your knowledge base to provide correct answers.&quot;,
    }
]

class LaunchRequestHandler(AbstractRequestHandler):
    def can_handle(self, handler_input):
        # type: (HandlerInput) -&gt; bool
        return ask_utils.is_request_type(&quot;LaunchRequest&quot;)(handler_input)

    def handle(self, handler_input):
        # type: (HandlerInput) -&gt; Response
        speak_output = &quot;Here is your assistant! What is your question?&quot;
        return handler_input.response_builder.speak(speak_output).ask(speak_output).response

class GptQueryIntentHandler(AbstractRequestHandler):
    def can_handle(self, handler_input):
        # type: (HandlerInput) -&gt; bool
        return ask_utils.is_intent_name(&quot;GptQueryIntent&quot;)(handler_input)

    def handle(self, handler_input):
        # type: (HandlerInput) -&gt; Response
        query = handler_input.request_envelope.request.intent.slots[&quot;query&quot;].value
        response = generate_gpt_response(query)
        return handler_input.response_builder.speak(response).ask(&quot;You can ask a new question or say: leave.&quot;).response

def generate_gpt_response(query):
    try:
        messages.append({&quot;role&quot;: &quot;user&quot;, &quot;content&quot;: query})
        response = openai.ChatCompletion.create(
            model=&quot;gpt-4-mini&quot;, 
            messages=messages,
            max_tokens=700,
            temperature=0.8
        )
        reply = response.choices[0].message['content']
        messages.append({&quot;role&quot;: &quot;assistant&quot;, &quot;content&quot;: reply})
        return reply
    except Exception as e:
        return f&quot;Error generating response: {str(e)}&quot;

class HelpIntentHandler(AbstractRequestHandler):
    def can_handle(self, handler_input):
        # type: (HandlerInput) -&gt; bool
        return ask_utils.is_intent_name(&quot;AMAZON.HelpIntent&quot;)(handler_input)

    def handle(self, handler_input):
        # type: (HandlerInput) -&gt; Response
        speak_output = &quot;How can I help you?&quot;
        return handler_input.response_builder.speak(speak_output).ask(speak_output).response

class CancelOrStopIntentHandler(AbstractRequestHandler):
    def can_handle(self, handler_input):
        # type: (HandlerInput) -&gt; bool
        return ask_utils.is_intent_name(&quot;AMAZON.CancelIntent&quot;)(handler_input) or ask_utils.is_intent_name(&quot;AMAZON.StopIntent&quot;)(handler_input)

    def handle(self, handler_input):
        # type: (HandlerInput) -&gt; Response
        speak_output = &quot;Até logo!&quot;
        return handler_input.response_builder.speak(speak_output).response

class SessionEndedRequestHandler(AbstractRequestHandler):
    def can_handle(self, handler_input):
        # type: (HandlerInput) -&gt; bool
        return ask_utils.is_request_type(&quot;SessionEndedRequest&quot;)(handler_input)

    def handle(self, handler_input):
        # type: (HandlerInput) -&gt; Response
        return handler_input.response_builder.response

class CatchAllExceptionHandler(AbstractExceptionHandler):
    def can_handle(self, handler_input, exception):
        # type: (HandlerInput, Exception) -&gt; bool
        return True

    def handle(self, handler_input, exception):
        # type: (HandlerInput, Exception) -&gt; Response
        logger.error(exception, exc_info=True)
        speak_output = &quot;Sorry, I was unable to process your request.&quot;
        return handler_input.response_builder.speak(speak_output).ask(speak_output).response

sb = SkillBuilder()
sb.add_request_handler(LaunchRequestHandler())
sb.add_request_handler(GptQueryIntentHandler())
sb.add_request_handler(HelpIntentHandler())
sb.add_request_handler(CancelOrStopIntentHandler())
sb.add_request_handler(SessionEndedRequestHandler())
sb.add_exception_handler(CatchAllExceptionHandler())

lambda_handler = sb.lambda_handler()
</code></pre>
","gpt-4"
"78846004","How can I use structured_output with Azure OpenAI with the openai Python library?","2024-08-07 23:14:19","","0","247","<python><nlp><azure-openai><gpt-4>","<p>I want to use structured output with Azure OpenAI.</p>
<p>I tried the following code, based on the code given in <a href=""https://openai.com/index/introducing-structured-outputs-in-the-api/"" rel=""nofollow noreferrer"">https://openai.com/index/introducing-structured-outputs-in-the-api/</a>:</p>
<pre><code>from pydantic import BaseModel
from openai import AzureOpenAI

class Step(BaseModel):
    explanation: str
    output: str


class MathResponse(BaseModel):
    steps: list[Step]
    final_answer: str


client = AzureOpenAI(api_key='[redacted]',
                     api_version='2024-05-01-preview',
                     azure_endpoint='[redacted]')

completion = client.beta.chat.completions.parse(
    model=&quot;gpt-4omini-2024-07-18-name&quot;,
    messages=[
        {&quot;role&quot;: &quot;system&quot;, &quot;content&quot;: &quot;You are a helpful math tutor.&quot;},
        {&quot;role&quot;: &quot;user&quot;, &quot;content&quot;: &quot;solve 8x + 31 = 2&quot;},
    ],
    response_format=MathResponse,
)

message = completion.choices[0].message
if message.parsed:
    print(message.parsed.steps)
    print(message.parsed.final_answer)
else:
    print(message.refusal)
</code></pre>
<p>I get the error:</p>
<pre><code>openai.BadRequestError: Error code: 400:
{
    &quot;error&quot;: {
        &quot;message&quot;: &quot;Invalid parameter: response_format must be one of json_object, text.&quot;,
        &quot;type&quot;: &quot;invalid_request_error&quot;,
        &quot;param&quot;: &quot;response_format&quot;,
        &quot;code&quot;: &quot;None&quot;
    }
}
</code></pre>
<p>How to fix it?</p>
<p>I ran <code>pip install -U openai</code>: I use <code>openai==1.40.1</code> and Python 3.11.</p>
<hr />
<p>I also tried <a href=""https://cookbook.openai.com/examples/structured_outputs_intro"" rel=""nofollow noreferrer"">https://cookbook.openai.com/examples/structured_outputs_intro</a> using  using Azure+ GPT-4o mini (2024-07-18), it didn't work either, same error message:</p>
<pre><code>from openai import AzureOpenAI

# Replace these variables with your Azure OpenAI endpoint and API key
endpoint = &quot;https://&lt;your-resource-name&gt;.openai.azure.com&quot;
api_key = &quot;&lt;your-api-key&gt;&quot;
deployment_name = &quot;&lt;your-deployment-name&gt;&quot; # Replace with your deployment name
MODEL = deployment_name

# API endpoint for the completion request
api_url = f&quot;{endpoint}/openai/deployments/{deployment_name}/chat/completions?api-version=2024-06-01&quot;


client = AzureOpenAI(api_key='[redacted]',
                     api_version='2024-07-01-preview',
                     azure_endpoint='https://[redacted].openai.azure.com/')

math_tutor_prompt = '''
    You are a helpful math tutor. You will be provided with a math problem,
    and your goal will be to output a step by step solution, along with a final answer.
    For each step, just provide the output as an equation use the explanation field to detail the reasoning.
'''

def get_math_solution(question):
    response = client.chat.completions.create(
    model=MODEL,
    messages=[
        {
            &quot;role&quot;: &quot;system&quot;,
            &quot;content&quot;: math_tutor_prompt
        },
        {
            &quot;role&quot;: &quot;user&quot;,
            &quot;content&quot;: question
        }
    ],
    response_format={
        &quot;type&quot;: &quot;json_schema&quot;,
        &quot;json_schema&quot;: {
            &quot;name&quot;: &quot;math_reasoning&quot;,
            &quot;schema&quot;: {
                &quot;type&quot;: &quot;object&quot;,
                &quot;properties&quot;: {
                    &quot;steps&quot;: {
                        &quot;type&quot;: &quot;array&quot;,
                        &quot;items&quot;: {
                            &quot;type&quot;: &quot;object&quot;,
                            &quot;properties&quot;: {
                                &quot;explanation&quot;: {&quot;type&quot;: &quot;string&quot;},
                                &quot;output&quot;: {&quot;type&quot;: &quot;string&quot;}
                            },
                            &quot;required&quot;: [&quot;explanation&quot;, &quot;output&quot;],
                            &quot;additionalProperties&quot;: False
                        }
                    },
                    &quot;final_answer&quot;: {&quot;type&quot;: &quot;string&quot;}
                },
                &quot;required&quot;: [&quot;steps&quot;, &quot;final_answer&quot;],
                &quot;additionalProperties&quot;: False
            },
            &quot;strict&quot;: True
        }
    }
    )

    return response.choices[0].message


# Testing with an example question
question = &quot;how can I solve 8x + 7 = -23&quot;

result = get_math_solution(question)

print(result.content)
</code></pre>
","gpt-4"
"78823867","Why is occurrence of ** for headings in GPT 4o responses not getting suppressed?","2024-08-02 05:18:28","","0","22","<openai-api><prompt><gpt-4>","<p>I am getting response for queries using API that might have headings in answers for GPT 4o. Like below:
**Heading**:\n - Details on the heading…</p>
<p>But I do not want these headings within asterisks or any other formatting.</p>
<p>Adding prompt for the same, code changes - Neither is working. The asterisk formatting is not getting removed.</p>
<p>Is it not possible to remove these asterisks in GPT 4o? If yes kindly suggest the solution.</p>
<p>Thanks in advance.</p>
<p>I have tried lots of prompts like -</p>
<ol>
<li>Please ensure that all headers are formatted without any asterisks. Use simple, plain text for headers. For example Do not give Heading: , Heading- , etc as header, instead give Heading: , Heading- , etc in response.</li>
<li>Please generate a response using plain text only. Do not use any special characters such as asterisks, underscores, or any other symbols for headers, emphasis or formatting. Ensure all text is in standard, unformatted form.</li>
<li>Do not provide *text1*, **text2** i.e. words within special symbols in response. Always provide response as text1, text2 without any special symbols and in plain text format only.</li>
</ol>
<p>And many other prompts. None of the prompts are able to suppress these asterisk</p>
<p>Also tried suppressing it in code using logit_bias</p>
<pre><code>logit_bias = {
334: -100, # “**”
3146: -100, # &quot; **&quot;
}
</code></pre>
<p>Neither is working.</p>
","gpt-4"
"78822306","How to replicate gpt-4o-mini playground results in api on image input?","2024-08-01 17:29:44","","0","137","<python><image><base64><openai-api><gpt-4>","<h2>The problem</h2>
<p>I am using system prompt + user image input prompt to generate text output using gpt4o-mini. I'm getting satisfactory results when I attempt this on the chat playground UI. But the same thing, when done programmatically using python API, gives me poor results.</p>
<p>My suspicion is that openAI uses some kind of image transformation and compression on their end before inference which I'm not replicating. But I have no idea what that is. My image is 1080 x 40,000. (It's a screenshot of an entire webpage). But the playground model is very easily able to find my needles in a haystack.</p>
<h3>My workflow</h3>
<p>Here's my process:</p>
<ol>
<li>Getting the screenshot</li>
</ol>
<pre><code>google-chrome --headless --disable-gpu --window-size=1024,40000
--screenshot=destination.png  source.html
</code></pre>
<ol start=""2"">
<li>convert to base64</li>
</ol>
<pre class=""lang-py prettyprint-override""><code>def encode_image(image_path):
  with open(image_path, &quot;rb&quot;) as image_file:
    return base64.b64encode(image_file.read()).decode('utf-8')
</code></pre>
<ol start=""3"">
<li>get response</li>
</ol>
<pre class=""lang-py prettyprint-override""><code>data_uri_png = f&quot;data:image/png;base64,{base64_encoded_png}&quot;
response = client.chat.completions.create(
    model=&quot;gpt-4o-mini&quot;,
    messages=[
        {&quot;role&quot;: &quot;system&quot;, &quot;content&quot;: query},
        {&quot;role&quot;: &quot;user&quot;, &quot;content&quot;: [
            {
                &quot;type&quot;: &quot;image_url&quot;,
                &quot;image_url&quot;: 
                    {&quot;url&quot;: data_uri_png 
                }
            }
        ]}
    ]
)
</code></pre>
<h3>What I've tried</h3>
<ul>
<li>converting the picture to a jpeg and decreasing quality to 70%</li>
<li>chunking the image into smaller images 1080 x 4000 images and uploading multiple as input prompt</li>
</ul>
<p>What am I missing here?</p>
","gpt-4"
"78821977","How to Enforce Context-Only Responses in a Conversational Retrieval Chain with LangChain and OpenAI GPT-4?","2024-08-01 16:09:31","","0","14","<openai-api><langchain><huggingface><chromadb><gpt-4>","<p>I'm working on a Django project where I need to create a conversational retrieval system using LangChain with OpenAI's GPT-4 model. The goal is to ensure that the model only answers questions based on the provided document context. If the relevant information is not in the context, the model should respond with a message indicating the lack of access to relevant files.</p>
<p>here is a simplified version of my setup</p>
<pre><code>from langchain.chains import ConversationalRetrievalChain
from langchain_community.vectorstores import Chroma
from langchain_huggingface.embeddings import HuggingFaceEmbeddings
from langchain_community.chat_models import ChatOpenAI
from langchain.schema import Document

embeddings = HuggingFaceEmbeddings(model_name=&quot;sentence-transformers/all-MiniLM-L6-v2&quot;)
chroma_db = Chroma(embeddings=embeddings, collection_name=&quot;AEM_Responses&quot;)

def handle_query_flow(chroma_db, email):
    system_prompt = &quot;&quot;&quot;You are an AI system that answers questions based on documents. 
                    Answer only using the provided context. If the information is not in the context, 
                    respond with: 'User does not have access to any relevant files. 
                    Please provide more context or check your access permissions.' 
                    Do not search outside the given context. Do not use any outside knowledge or 
                    provide an answer from your own training data. Only use the provided context.
                    If you get empty context then just say that this user does not have access to any files.
                    &quot;&quot;&quot;

    chain = ConversationalRetrievalChain.from_llm(
        ChatOpenAI(temperature=0.0, model_name='gpt-4-turbo'),
        chroma_db.as_retriever(search_kwargs={'filter': {'email': email}}),
        memory=None
    )

    chat_history = []

    while True:
        query = input(&quot;Please enter your query (type 'quit' to exit): &quot;).strip()
        if query.lower() == 'quit':
            break

        retriever = chroma_db.as_retriever(search_kwargs={'filter': {'email': email}})
        retrieved_docs = retriever.get_relevant_documents(query)
        count_retrieved_docs = len(retrieved_docs)
        
        response = chain.invoke({'question': query, 'system_prompt': system_prompt, 'chat_history': chat_history})
        answer = response.get('answer', '')
        print(f&quot;Answer: {answer}&quot;)
        print(&quot;CONTEXT DOCUMENTS&quot;)
        print(retrieved_docs)

    return JsonResponse({&quot;message&quot;: &quot;Query session ended&quot;}, status=200) ```





Problem:
Despite setting up a system prompt and the ConversationalRetrievalChain, the model sometimes provides answers based on general knowledge instead of strictly using the provided context. For instance, when a user with no relevant documents in context asks a question, the model still responds with an answer rather than indicating the absence of relevant documents.

What I've Tried:

System Prompt: I've clearly stated that the model should not use outside knowledge and should only answer based on the provided context.
Checking Retrieved Documents: Before generating a response, I check if any meaningful documents are retrieved.
Questions:

How can I ensure that the model strictly adheres to the provided context and does not use any outside knowledge?
Is there a way to programmatically enforce this restriction, ensuring that if no relevant context is found, the model responds with a predefined message?
Are there any best practices or specific configurations in LangChain or with OpenAI models that I might be missing?
Any insights or suggestions would be greatly appreciated!
</code></pre>
","gpt-4"
"78765261","Azure.AI.OpenAI - GetChatCompletionsStreaming - Send and Receive Multiple Messages In the Same Context","2024-07-18 15:07:51","","0","67","<c#><azure><azure-openai><gpt-4><conversation-scope>","<p>I have a use case that is very simple but is proving quite difficult, I want to create a programmatic application that sends and receives a series of messages in the same context to a GPT model hosted on Azure Open AI, rough sketched this would look something like:</p>
<pre><code>Uri azureOpenAIResourceUri = new Uri(azureOpenAIResourceUriEndpoint);
AzureKeyCredential azureOpenAIApiKeyCredential = new AzureKeyCredential(azureOpenAIApiKey);
OpenAIClient client = new OpenAIClient(azureOpenAIResourceUri, azureOpenAIApiKeyCredential);
ChatCompletionsOptions chatCompletionsOptions = GenerateInitialChatCompletionsOptions(AITemplate, customAITemplate, query);

//Send message: &quot;What is 1 + 1&quot;

//Get answer, print to user

//Send message: &quot;Can you add 2 to the previous answer&quot;

//Get answer, print to user

//etc...
</code></pre>
<p>Apparently, searching the internet, I've discovered this is a non trivial use case(because I haven't found anyone else doing it), I can do the first part using the following code:</p>
<pre><code>await client.GetChatCompletionsAsync(chatCompletionsOptions)
</code></pre>
<p>But after I receive the first reply I don't know how to reply to that reply. I don't see a way to obtain the conversation &quot;Context&quot; and I don't see a method or property of any of the related objects that would allow me to &quot;reply with current context&quot;.</p>
<p>There is a <a href=""https://stackoverflow.com/questions/77705879/how-to-apply-streaming-in-azure-openai-dotnet-web-application"">number of posts</a> floating around that use &quot;GetChatCompletionsStreaming&quot; but I have yet to see a example of replying to the completion of the first message a additional message in the same context.</p>
<p>If you want a good use case to get GPT-4 to hallucinate, ask it this exact question, it will provide you profoundly misleading and totally incorrect code. To be clear allot of this may be down to the &quot;Azure.AI.OpenAI&quot; version I am using, I'm currently using &quot;1.0.0-beta.14&quot; if that is not the optimal version please include that in your answer.</p>
<p>I have observed syntactically incompatible answers to various related questions, I would infer from that, that the API's are changing quite rapidly between releases and this is one of the reasons why GPT find's it so difficult to generate a reasonable and compatible answer.</p>
<p>How do I, in the version of the library referenced above, in C#, interact with a chatbot sending and receiving multiple messages in the same context.</p>
","gpt-4"
"78755971","Open AI Assistant file parsing","2024-07-16 17:26:35","","0","41","<node.js><openai-api><gpt-4>","<p>Currently I am working on the following task. I need to receive the CV as a file from the backend. File could be pdf/docx and could include the image. I need to parse this file and return its content as a JSON.
I have built the followinf service on my NodeJS service.</p>
<pre><code>import OpenAI from 'openai';
import { environment } from '../common/data/environment';
import { checkmimeType, OpenAiFileUploadReponse } from '../common';
import axios from 'axios';
import FormData from 'form-data';

export class GPTService {
    private readonly openai: OpenAI;
    private readonly BASE_PATH: string;
    private assistant_id: string;

    constructor() {
        this.openai = new OpenAI({
            apiKey: environment.gpt_key,
        });
        this.BASE_PATH = 'https://api.openai.com/v1';
        this.assistant_id = environment.assistant_id as string;
    }

    async createRun(thread_id: string, assistant_id: string) {
        return this.openai.beta.threads.runs.create(thread_id, {
            assistant_id
        });
    }

    async waitForTheResponse(run: OpenAI.Beta.Threads.Runs.Run) {
        let { status } = run;

        while (status === 'queued' || status === 'in_progress') {
            const retrieving_run = await this.openai.beta.threads.runs.retrieve(run.thread_id, run.id);

            if (retrieving_run.status === 'completed') {
                const all_messages = await this.openai.beta.threads.messages.list(run.thread_id);
                this.openai.beta.threads.del(run.thread_id);
                all_messages.data.map((d) =&gt; console.log(d.content[0]))
                // console.dir(all_messages);
                // console.dir(all_messages.data[0].content[0]);
                return all_messages.data[0].content[0];
            } else if (retrieving_run.status === 'queued' || retrieving_run.status === 'in_progress') {
                status = retrieving_run.status;
                continue;
            } else {
                console.log(&quot;Status &gt;&gt;&gt; &quot;, retrieving_run.status);
                break;
            }
        }
    }

    async createThread(file_id: string) {
        return this.openai.beta.threads.create({
            messages: [
                {
                    role: 'user',
                    content: `Return me the content of the file in the JSON format`,
                    attachments: [{
                        file_id,
                        tools: [{
                            type: 'file_search'
                        }]
                    }]
                }
            ]
        });
    }

    async extractFileContent(file?: Express.Multer.File) {
        const { id } = await this.uploadFile(file);
        const { id: thread_id } = await this.createThread(id);
        const run = await this.createRun(thread_id, this.assistant_id);
        const content = await this.waitForTheResponse(run);
        await this.deleteFile(id);
        return content;
    }

    async deleteFile(id: string) {
        const res = await this.openai.files.del(id);

        console.log(res);

        return res;
    }

    async uploadFile(file?: Express.Multer.File) {
        if (!file) {
            throw new Error('File is corrupted or is not downloaded!');
        }

        const isValidType = checkmimeType(file.mimetype);

        if (!isValidType) {
            throw new Error('Mime type is not valid!');
        }

        const form = new FormData();
        form.append('file', file.buffer, {
            filename: file.originalname,
            contentType: file.mimetype
        });
        form.append('purpose', 'assistants');

        try {
            const response = await axios.post(`${this.BASE_PATH}/files`, form, {
                headers: {
                    ...form.getHeaders(),
                    'Authorization': `Bearer ${environment.gpt_key}`,
                },
            });

            console.log('Upload response:', response.data);

            if (response.data &amp;&amp; response.data.id) {
                return response.data as OpenAiFileUploadReponse;
            } else {
                throw new Error('Failed to upload file to OpenAI.');
            }
        } catch (error) {
            console.error('Error uploading file:', error);
            throw new Error('Error uploading file: ' + error);
        }
    }
}
</code></pre>
<p>I am calling the method <code>extractFileContent</code> to run the main process. It includes a few steps:</p>
<ul>
<li>I am uploading a file to the openAI storage using the method <code>uploadFile</code></li>
<li>Creating a new thread using the <code>createThread</code> method</li>
<li>Create the run using the previously created <code>assistant id</code> (stores in my env) and calling the method <code>createRun</code>. Note: assistant uses gpt-4o model</li>
<li>And in the ``waitForResponse``` method I am getting the result of my GPT Assistant work
It should work but... I am getting the strange response, like &quot;I don/t have the access to this file&quot;. Or this file wasn't uploaded. But the main problem, that it is.</li>
</ul>
<p>I have attached the uploaded file id here:</p>
<pre><code>messages: [
                {
                    role: 'user',
                    content: `Return me the content of the file in the JSON format`,
                    attachments: [{
                        file_id,
                        tools: [{
                            type: 'file_search'
                        }]
                    }]
                }
            ]
</code></pre>
<p>Maybe I have missed something? I will be very appreciated for your answer or any assistance</p>
","gpt-4"
"78712140","How to pass a variable to a prompt and get it printed as is in Python","2024-07-05 15:05:39","","1","57","<python><gpt-4>","<p>I'm working on a project where I need to pass a variable to a prompt and get it printed as part of the output string. I'm using Python and the OpenAI API. Specifically, I have a function that identifies non-inclusive pronouns in a given text. The identified pronouns are stored in a variable which I want to include in the prompt string for further processing.</p>
<p>Here's a simplified version of my code:</p>
<pre><code>import re

def identify_non_inclusive_pronouns(text):
    pronouns = ['he', 'she', 'his', 'him', 'her', 'she\'s']
    # Remove text inside parentheses
    text = re.sub(r'\(.*?\)', '', text)
    words = re.findall(r'\b\w+\b', text.lower())
    non_inclusive_pronouns = [word for word in words if word in pronouns]
    unique_non_inclusive_pronouns = list(set(non_inclusive_pronouns))
    return unique_non_inclusive_pronouns


def classify_sentences(message: str):
    non_inclusive_pronouns = identify_non_inclusive_pronouns(message)
    print(non_inclusive_pronouns)
    non_inclusive_pronouns_str = ', '.join(non_inclusive_pronouns)
    print(non_inclusive_pronouns_str)
    system_content = '''
    __CONTEXT__:
    You are a World-Class Inclusive Language Checker, tasked with evaluating English messages for any type of bias. Your objective is to ensure the language used is inclusive, avoiding any words or phrases that could offend any community, ethnic group, race, gender, religious group, socio-economic status, or societal segment.You will be working for the corporate affairs team of Mars Wrigley, a pet care and confectionery giant, to ensure that the posts on various social media platforms are inclusive and respectful.The language should be neutral ,respectable and relatable to everyone inclusive of individuals of any gender,race, caste, creed, religious or socio-economic community. Accurate inclusivity detection is crucial as failure to detect correctly would negatively impact business users and content consumers and will cost the human race.
    __ASK__: 
    Classify the message as &quot;Inclusive&quot; or &quot;Not Inclusive&quot;.
    Output for &quot;Not Inclusive&quot; messages:
    Not Inclusive Words: A list of non-inclusive words or phrases.
    Reasons: Detailed explanations for why each word or phrase flagged is considered non-inclusive with inclusive reccomendations.
    __CONSTRAINTS__:
    1. Ensure the model scans the entire text for all predefined inclusivity rules.
    2. Each rule should be independently checked so that multiple issues can be identified within the same passage.Even if one rule is violated the  final outcome is non inclusive and reasons and non inclusivity words should be listed appropriately.
    3. For each instance of non-inclusivity, add the specific non-inclusive words and the corresponding reasons on why the text was flagged and recommendations to the output lists.
    4.Always add a comment under reasons even if the text is inclusive.There are some good to have comments or reccomendation to the user suggested by most of the  rules.

    Given the MESSAGE, let's go step by step using rules to learn how to check if the message is inclusive or not:

    1. **Important Rule:** Retrieval of pronoun variable
        Expected Output:
        - Tag: Not Inclusive
        - not_inclusive_words: Append content of string {non_inclusive_pronouns_str} to this list
        - Reasons: Include the appropriate pronouns in brackets next to 'name/job title' the first time they are mentioned in the message/post.

        OUTPUT:
        {{
        &quot;tag&quot;: &quot;Not Inclusive&quot;,
        &quot;not_inclusive_words&quot;: {non_inclusive_pronouns},
        &quot;reasons&quot;: [&quot;Include the appropriate pronouns in brackets next to 'name/job title' the first time they are mentioned in the message/post.&quot;]
        }}
    '''
    # Processing with the model here...
</code></pre>
<p>Even after I did as above I am not getting the LLM to print the retrieved list of pronouns and tag correctly. As it's rule based I am expecting it to work 100% of the times. And note I definitely want to pass the pronouns to the prompt because I want the LLM to  get it to reason. I am using GPT-4o.</p>
","gpt-4"
